iter	Logloss
0	0.6789290265
1	0.6657939384
2	0.6532100274
3	0.6411802711
4	0.6279776969
5	0.6163942911
6	0.6045889506
7	0.5943963276
8	0.5846522261
9	0.5770544037
10	0.5682925092
11	0.5598444745
12	0.5523097341
13	0.545416235
14	0.5370254517
15	0.5304098982
16	0.5256008365
17	0.5207972333
18	0.5144885924
19	0.5100229155
20	0.5044060684
21	0.4988158932
22	0.493589975
23	0.490122012
24	0.4856185913
25	0.4807262886
26	0.4770605816
27	0.4745513482
28	0.4704240628
29	0.4662555602
30	0.4629008285
31	0.4596013635
32	0.4562838795
33	0.4536972356
34	0.4510432918
35	0.4491755788
36	0.4460291048
37	0.4446836022
38	0.4432725364
39	0.4418766053
40	0.4393005061
41	0.4363599948
42	0.4338101023
43	0.4313602603
44	0.4295947067
45	0.4278431094
46	0.4248333443
47	0.4238757622
48	0.4217549456
49	0.4196213513
50	0.4174627289
51	0.4156454443
52	0.4140815735
53	0.4122367177
54	0.4108930758
55	0.4092712402
56	0.4070966147
57	0.4044502072
58	0.4021974889
59	0.4008794335
60	0.3990616837
61	0.3976250625
62	0.3964772728
63	0.3951765541
64	0.3938893884
65	0.3922248778
66	0.390202406
67	0.3892569193
68	0.3879691643
69	0.3871905629
70	0.3853661452
71	0.3839195686
72	0.3830301238
73	0.3823151007
74	0.3813633802
75	0.3799098875
76	0.3789812724
77	0.3774561688
78	0.3758210903
79	0.3746571735
80	0.3732751986
81	0.3724967212
82	0.371192684
83	0.3704897253
84	0.3691022919
85	0.368426005
86	0.3676304391
87	0.3661557019
88	0.3654082384
89	0.3646691175
90	0.3635215759
91	0.3626467697
92	0.3612971732
93	0.3602214906
94	0.3593790318
95	0.3582810193
96	0.3580708077
97	0.3572911208
98	0.3566825681
99	0.3556224854
100	0.3541546953
101	0.3525653622
102	0.3516885401
103	0.350645422
104	0.3496972991
105	0.3489489051
106	0.3475174943
107	0.346447177
108	0.3459440402
109	0.3445842092
110	0.3433922248
111	0.342455422
112	0.3408787115
113	0.339434802
114	0.3384874545
115	0.3379432864
116	0.3368838551
117	0.336488243
118	0.3354515448
119	0.3342436814
120	0.3336640645
121	0.3334264988
122	0.3321590889
123	0.3313087525
124	0.33054786
125	0.3297630248
126	0.3286496604
127	0.3276066354
128	0.3257646638
129	0.324935634
130	0.3238330624
131	0.3233841997
132	0.3226852417
133	0.3218086057
134	0.3212224449
135	0.320728333
136	0.3204515969
137	0.3193154064
138	0.3192216827
139	0.3179032861
140	0.3174345435
141	0.3170471191
142	0.3165689794
143	0.3160933518
144	0.3156826981
145	0.3149203789
146	0.3138540314
147	0.3121637484
148	0.3117887295
149	0.311052679
150	0.311000793
151	0.3103146127
152	0.3091048264
153	0.3085561613
154	0.3075804051
155	0.3071313253
156	0.3062888355
157	0.3054844926
158	0.3043919695
159	0.3038889877
160	0.3032451102
161	0.3026318434
162	0.3019844303
163	0.3013816151
164	0.3008901705
165	0.3004893481
166	0.300084525
167	0.2990422443
168	0.2987544982
169	0.2982786845
170	0.2975629481
171	0.2962098781
172	0.2951951376
173	0.2941751558
174	0.2940436883
175	0.2933996867
176	0.2925936691
177	0.2920400418
178	0.2912913377
179	0.2908864835
180	0.2900217568
181	0.2892689899
182	0.2887144631
183	0.288134195
184	0.2881278682
185	0.2875086466
186	0.2873301932
187	0.286549762
188	0.2862236829
189	0.2853034105
190	0.2846027157
191	0.2841765241
192	0.2838061883
193	0.2831575347
194	0.2821296754
195	0.2816160249
196	0.2815406923
197	0.2811768074
198	0.2805390397
199	0.2797667961
200	0.2791625542
201	0.2781434098
202	0.2774909415
203	0.277296547
204	0.2769075409
205	0.2762965381
206	0.275723155
207	0.274783871
208	0.2740017651
209	0.2731194225
210	0.2723337809
211	0.2718691942
212	0.2713430141
213	0.2707879291
214	0.2698585076
215	0.2693712808
216	0.2687740481
217	0.2678917986
218	0.2670460523
219	0.2663528008
220	0.2657326179
221	0.2645205366
222	0.2639270565
223	0.2636117082
224	0.2628809921
225	0.2625393751
226	0.2617720937
227	0.2611896546
228	0.2605276961
229	0.2597601976
230	0.2591598635
231	0.2588992855
232	0.2580774509
233	0.2572291615
234	0.2562838919
235	0.2559767002
236	0.2556568084
237	0.2552730591
238	0.2549855147
239	0.2545461267
240	0.2541943372
241	0.2534088817
242	0.2531077842
243	0.2520375446
244	0.251847523
245	0.2515273676
246	0.2506725652
247	0.2501048887
248	0.2496369215
249	0.2488289965
250	0.2487508572
251	0.2478678323
252	0.2475704565
253	0.2472758099
254	0.2463136223
255	0.2458859265
256	0.2454685118
257	0.2449399902
258	0.2445949927
259	0.2441291499
260	0.2437683509
261	0.2435419501
262	0.2429839654
263	0.2423096013
264	0.2419219909
265	0.2415013197
266	0.2412988771
267	0.2411557174
268	0.2405584692
269	0.2399760301
270	0.2398063691
271	0.2392441819
272	0.2391365175
273	0.2385522796
274	0.2381021918
275	0.2372634702
276	0.2370022409
277	0.2365901606
278	0.2356057671
279	0.2353024987
280	0.234442486
281	0.233779287
282	0.2332425621
283	0.2327662987
284	0.232337626
285	0.2316925545
286	0.2312997337
287	0.2305948211
288	0.2304322002
289	0.230120341
290	0.2296299818
291	0.228822336
292	0.2278510613
293	0.2271724329
294	0.2267626786
295	0.2264379176
296	0.2261469616
297	0.2253157453
298	0.2248899258
299	0.2246641609
300	0.2243102159
301	0.2234655241
302	0.2230400458
303	0.223011296
304	0.2225571609
305	0.2219234715
306	0.2213258511
307	0.220907723
308	0.2207736194
309	0.2204551387
310	0.2203428997
311	0.219941209
312	0.2198238528
313	0.2190227974
314	0.218424045
315	0.2178887623
316	0.217432937
317	0.2165592473
318	0.2159600917
319	0.2154177844
320	0.2149440331
321	0.2146317397
322	0.2137971428
323	0.2131046202
