iter	Passed	Remaining
0	1	1882
1	3	1816
2	5	1722
3	6	1726
4	8	1670
5	9	1620
6	11	1579
7	12	1550
8	13	1530
9	15	1543
10	17	1555
11	19	1564
12	20	1562
13	22	1559
14	23	1570
15	25	1566
16	26	1551
17	28	1538
18	29	1498
19	30	1486
20	31	1491
21	33	1504
22	35	1517
23	37	1522
24	38	1504
25	40	1510
26	41	1506
27	43	1498
28	44	1492
29	45	1485
30	47	1485
31	49	1495
32	50	1493
33	52	1493
34	54	1490
35	55	1485
36	56	1479
37	58	1477
38	59	1473
39	61	1468
40	62	1465
41	64	1471
42	66	1473
43	68	1477
44	69	1473
45	70	1467
46	72	1462
47	73	1458
48	74	1453
49	76	1451
50	77	1448
51	79	1449
52	81	1449
53	82	1450
54	84	1452
55	86	1453
56	87	1450
57	89	1445
58	90	1441
59	91	1436
60	93	1437
61	95	1439
62	96	1440
63	98	1442
64	100	1441
65	101	1437
66	103	1434
67	104	1432
68	105	1428
69	107	1431
70	109	1427
71	110	1424
72	112	1422
73	113	1424
74	115	1423
75	116	1422
76	118	1418
77	119	1415
78	121	1413
79	122	1413
80	124	1410
81	125	1406
82	127	1407
83	129	1407
84	130	1409
85	132	1410
86	134	1406
87	135	1403
88	136	1400
89	138	1397
90	139	1394
91	141	1393
92	142	1391
93	144	1389
94	145	1388
95	147	1386
96	148	1383
97	150	1382
98	151	1380
99	153	1377
100	154	1375
101	155	1373
102	157	1370
103	159	1372
104	160	1371
105	162	1369
106	163	1367
107	165	1365
108	166	1362
109	168	1361
110	169	1359
111	171	1356
112	172	1354
113	174	1352
114	175	1351
115	177	1351
116	179	1351
117	180	1351
118	182	1348
119	183	1345
120	184	1343
121	186	1342
122	187	1339
123	189	1337
124	191	1337
125	192	1335
126	194	1334
127	195	1334
128	197	1332
129	198	1330
130	200	1327
131	201	1325
132	202	1322
133	204	1321
134	205	1319
135	207	1317
136	209	1317
137	211	1318
138	212	1316
139	214	1315
140	215	1314
141	217	1311
142	218	1309
143	219	1306
144	221	1304
145	222	1303
146	224	1302
147	225	1300
148	227	1298
149	228	1296
150	230	1293
151	231	1292
152	233	1290
153	234	1287
154	235	1285
155	237	1282
156	238	1281
157	240	1281
158	241	1279
159	243	1277
160	244	1275
161	246	1273
162	247	1270
163	249	1269
164	250	1267
165	251	1265
166	253	1263
167	254	1260
168	256	1259
169	257	1258
170	259	1257
171	261	1256
172	262	1254
173	263	1250
174	264	1248
175	266	1246
176	267	1244
177	271	1252
178	272	1250
179	273	1248
180	275	1245
181	276	1243
182	278	1241
183	279	1240
184	281	1238
185	282	1236
186	283	1234
187	285	1232
188	287	1231
189	288	1231
190	290	1229
191	291	1227
192	293	1225
193	294	1223
194	295	1221
195	297	1219
196	298	1217
197	300	1215
198	301	1215
199	303	1214
200	305	1212
201	316	1249
202	317	1248
203	319	1247
204	321	1246
205	323	1245
206	324	1243
207	326	1241
208	327	1239
209	328	1237
210	330	1235
211	331	1233
212	333	1231
213	335	1231
214	337	1230
215	338	1229
216	340	1227
217	341	1224
218	342	1222
219	344	1223
220	346	1221
221	347	1219
222	349	1219
223	351	1218
224	353	1217
225	355	1216
226	356	1215
227	358	1213
228	359	1210
229	361	1208
230	362	1206
231	364	1205
232	365	1204
233	367	1203
234	369	1201
235	370	1200
236	372	1198
237	373	1197
238	375	1195
239	376	1193
240	378	1191
241	379	1189
242	381	1188
243	383	1188
244	385	1188
245	387	1186
246	388	1185
247	390	1183
248	405	1223
249	407	1222
250	409	1221
251	410	1218
252	411	1216
253	413	1215
254	415	1214
255	417	1213
256	419	1211
257	420	1209
258	422	1207
259	423	1205
260	424	1203
261	426	1201
262	427	1199
263	429	1197
264	431	1195
265	432	1194
266	434	1192
267	435	1190
268	437	1188
269	438	1186
270	440	1183
271	441	1181
272	442	1179
273	444	1178
274	446	1176
275	447	1175
276	449	1172
277	450	1170
278	452	1168
279	453	1166
280	455	1164
281	456	1162
282	457	1159
283	459	1157
284	460	1156
285	462	1155
286	464	1154
287	466	1152
288	467	1150
289	469	1149
290	470	1147
291	472	1145
292	474	1143
293	475	1142
294	477	1140
295	479	1139
296	481	1138
297	482	1137
298	484	1135
299	486	1134
300	487	1132
301	489	1130
302	490	1128
303	492	1127
304	494	1126
305	496	1125
306	497	1123
307	499	1122
308	501	1120
309	502	1119
310	504	1117
311	506	1116
312	508	1115
313	509	1114
314	511	1112
315	513	1111
316	515	1110
317	516	1107
318	518	1105
319	519	1103
320	520	1101
321	522	1099
322	524	1098
323	525	1097
324	527	1095
325	529	1093
326	530	1091
327	532	1090
328	533	1088
329	534	1086
330	536	1083
331	537	1081
332	539	1079
333	541	1079
334	542	1077
335	544	1076
336	545	1074
337	547	1072
338	548	1070
339	550	1068
340	551	1066
341	553	1064
342	554	1062
343	556	1060
344	558	1059
345	559	1057
346	561	1055
347	562	1053
348	563	1051
349	565	1049
350	567	1048
351	568	1047
352	570	1046
353	572	1044
354	573	1042
355	575	1040
356	576	1038
357	577	1036
358	579	1034
359	580	1032
360	582	1030
361	583	1029
362	585	1027
363	587	1025
364	588	1023
365	589	1021
366	591	1019
367	592	1017
368	594	1015
369	595	1014
370	596	1012
371	598	1010
372	600	1008
373	601	1006
374	602	1004
375	604	1003
376	606	1001
377	607	999
378	608	997
379	610	995
380	611	993
381	613	991
382	614	990
383	616	988
384	617	986
385	619	984
386	620	982
387	622	981
388	623	979
389	624	977
390	626	975
391	627	973
392	628	971
393	630	970
394	632	968
395	633	966
396	635	964
397	636	963
398	638	961
399	639	959
400	640	957
401	642	955
402	643	953
403	645	952
404	647	951
405	649	949
406	650	947
407	652	946
408	653	944
409	654	942
410	656	940
411	657	939
412	659	937
413	660	935
414	662	933
415	663	932
416	665	930
417	666	928
418	668	926
419	669	924
420	670	922
421	672	920
422	673	918
423	675	917
424	676	915
425	678	913
426	679	912
427	681	910
428	682	908
429	684	906
430	685	904
431	686	903
432	688	901
433	689	899
434	690	897
435	692	895
436	694	894
437	695	892
438	696	890
439	698	888
440	699	887
441	701	885
442	702	883
443	704	882
444	705	880
445	707	878
446	708	876
447	710	875
448	712	873
449	713	871
450	714	870
451	716	868
452	717	866
453	719	865
454	720	863
455	722	861
456	723	859
457	725	858
458	727	856
459	729	856
460	730	854
461	732	852
462	733	850
463	735	849
464	736	847
465	738	845
466	739	844
467	741	842
468	742	841
469	744	839
470	745	837
471	747	836
472	749	835
473	751	833
474	752	831
475	754	830
476	755	828
477	757	827
478	759	825
479	760	824
480	762	822
481	764	821
482	765	819
483	767	818
484	769	817
485	771	815
486	772	814
487	774	812
488	776	811
489	778	809
490	780	808
491	781	807
492	783	805
493	785	804
494	786	802
495	788	801
496	790	800
497	792	799
498	794	797
499	796	796
500	797	794
501	799	793
502	801	791
503	802	789
504	804	788
505	805	786
506	807	785
507	809	783
508	811	782
509	812	780
510	814	779
511	815	777
512	817	775
513	818	774
514	821	773
515	823	772
516	825	771
517	837	778
518	838	777
519	840	776
520	842	774
521	844	773
522	845	771
523	847	769
524	848	767
525	849	765
526	851	764
527	853	762
528	854	760
529	855	758
530	857	757
531	858	755
532	860	753
533	861	751
534	862	750
535	864	748
536	865	746
537	867	744
538	868	743
539	870	741
540	871	739
541	872	737
542	874	735
543	875	734
544	877	732
545	878	730
546	880	728
547	881	726
548	882	725
549	884	723
550	885	721
551	887	720
552	888	718
553	890	716
554	891	714
555	892	712
556	894	711
557	895	709
558	896	707
559	898	705
560	899	704
561	901	702
562	902	700
563	904	699
564	905	697
565	907	695
566	908	693
567	909	692
568	911	690
569	912	688
570	914	686
571	915	685
572	917	683
573	919	682
574	920	680
575	922	679
576	923	677
577	925	675
578	926	673
579	928	672
580	929	670
581	931	668
582	933	667
583	935	666
584	936	664
585	938	662
586	940	661
587	941	659
588	943	658
589	944	656
590	946	654
591	955	658
592	957	656
593	958	655
594	960	653
595	961	651
596	963	650
597	965	648
598	967	647
599	968	645
600	970	644
601	971	642
602	973	640
603	974	639
604	976	637
605	977	635
606	979	634
607	981	632
608	983	631
609	984	629
610	986	627
611	987	626
612	989	624
613	990	622
614	991	620
615	993	619
616	994	617
617	996	616
618	998	614
619	999	612
620	1001	611
621	1003	609
622	1004	607
623	1006	606
624	1007	604
625	1008	602
626	1010	601
627	1012	599
628	1014	598
629	1016	596
630	1017	595
631	1019	593
632	1020	591
633	1021	589
634	1023	588
635	1024	586
636	1026	585
637	1028	583
638	1030	582
639	1031	580
640	1033	578
641	1035	577
642	1036	575
643	1037	573
644	1039	571
645	1040	570
646	1042	568
647	1044	567
648	1045	565
649	1047	564
650	1049	562
651	1050	560
652	1052	559
653	1053	557
654	1055	555
655	1056	554
656	1058	552
657	1060	551
658	1062	549
659	1063	548
660	1065	546
661	1066	544
662	1068	543
663	1069	541
664	1071	539
665	1072	538
666	1074	536
667	1076	535
668	1078	533
669	1079	531
670	1081	530
671	1082	528
672	1084	526
673	1085	525
674	1087	523
675	1088	521
676	1090	520
677	1092	518
678	1094	517
679	1096	515
680	1097	514
681	1099	512
682	1100	510
683	1102	509
684	1103	507
685	1105	505
686	1106	504
687	1108	502
688	1110	501
689	1112	499
690	1113	497
691	1114	496
692	1116	494
693	1117	492
694	1119	491
695	1120	489
696	1122	488
697	1124	486
698	1126	484
699	1127	483
700	1129	481
701	1130	480
702	1132	478
703	1133	476
704	1135	475
705	1136	473
706	1138	471
707	1140	470
708	1142	468
709	1143	467
710	1145	465
711	1146	463
712	1148	462
713	1150	460
714	1151	459
715	1153	457
716	1154	455
717	1156	454
718	1158	452
719	1160	451
720	1161	449
721	1163	448
722	1165	446
723	1166	444
724	1168	443
725	1170	441
726	1172	440
727	1174	438
728	1175	437
729	1177	435
730	1179	433
731	1180	432
732	1182	430
733	1183	428
734	1185	427
735	1186	425
736	1188	424
737	1190	422
738	1192	421
739	1194	419
740	1195	417
741	1197	416
742	1198	414
743	1199	412
744	1201	411
745	1203	409
746	1205	408
747	1206	406
748	1208	404
749	1210	403
750	1211	401
751	1212	399
752	1214	398
753	1215	396
754	1218	395
755	1220	393
756	1221	392
757	1223	390
758	1225	388
759	1226	387
760	1227	385
761	1229	383
762	1230	382
763	1232	380
764	1234	379
765	1236	377
766	1238	376
767	1239	374
768	1240	372
769	1242	371
770	1243	369
771	1245	367
772	1246	366
773	1248	364
774	1249	362
775	1251	361
776	1252	359
777	1254	357
778	1255	356
779	1257	354
780	1258	352
781	1260	351
782	1261	349
783	1262	347
784	1264	346
785	1266	344
786	1267	343
787	1269	341
788	1271	339
789	1272	338
790	1274	336
791	1275	335
792	1277	333
